ts,p0,p1,p2,p3
10.4236190,-1.9651906,204.5185629,187.4725012,165.7953938
10.4505520,-2.2552036,204.6958701,187.5373550,166.3555452
10.4854570,-2.4044432,205.1697145,188.1940661,167.3283262
10.5183680,-2.4145710,205.4661795,188.7340266,168.3028855
10.5512980,-2.2979146,205.1617385,189.1512250,168.4470102
10.5826810,-2.0727616,205.9132815,190.2213579,169.3836550
10.6165890,-1.7660722,205.5754146,190.1217561,169.4252683
10.6455110,-1.4347285,206.3051046,190.3987874,170.1449247
10.6794200,-1.1236549,205.8152227,190.9714453,170.4696423
10.7103380,-0.8562065,206.1223358,190.8373723,171.2732847
10.7432470,-0.6575139,205.9459485,191.1285288,171.4705656
10.7741640,-0.5324841,206.3221996,191.4346984,171.9969987
10.8211190,-0.4730568,206.0876802,191.3666892,171.9440627
10.8510380,-0.4766609,206.0874041,191.4410993,171.6363018
10.8839490,-0.5555556,205.0606411,190.4241024,171.0590047
10.9178570,-0.7201845,205.7211687,190.6839203,170.8454915
10.9467790,-0.9467099,204.8907457,190.2189915,169.9910162
10.9846760,-1.1986067,205.0697134,190.3094500,169.3741286
11.0126010,-1.4634636,204.8943352,189.0133059,168.4339106
11.0435180,-1.8412322,200.5651529,184.1682992,163.9814980
11.0774260,-2.4438476,200.7474004,184.2114970,164.1794193
11.1063480,-3.1682555,201.2869039,184.5154159,164.4738773
11.1432490,-3.8112853,200.7740967,184.6086478,164.4571114
11.1721710,-4.2524019,201.1881512,184.2042274,164.4030962
11.2210390,-4.4512013,201.0330720,183.9638118,164.1449538
11.2529520,-4.3887852,201.1178550,184.7833771,164.7816603
11.2838690,-4.0580213,201.0595203,184.6349817,164.8754318
11.3147850,-3.5951709,197.3800657,180.1811212,160.8720502
11.3467050,-3.1922855,197.8777778,181.0854167,161.3408730
11.3786190,-2.8705696,197.7829565,180.2678977,160.6885553
11.4145220,-2.5755671,198.1876104,180.3526409,161.6124092
11.4444410,-2.2701435,197.7097153,180.2844144,160.9959887
11.4783550,-1.9124947,197.9291137,180.6306813,160.1586316
11.5122690,-1.4772207,198.2146870,180.7082307,160.3980286
11.5401940,-0.9771134,197.7610094,180.2078179,159.6210787
11.5751770,-0.4645238,197.3556362,179.6746787,158.4542333
11.6199850,0.0347628,197.2625853,180.5894570,158.8717239
11.6529480,0.5307048,197.4181017,180.2226672,157.7698238
11.6888500,1.0052090,197.2597286,180.1213331,157.5369188
11.7167750,1.4289269,196.6347729,180.1489835,157.3226459
11.7497200,1.7917412,196.9505631,180.1363500,156.9836539
11.7836290,2.0725820,196.7546468,179.3117653,156.8944037
11.8135540,2.2503374,196.3548098,179.5490938,157.1471818
11.8464650,2.3355596,195.7795595,179.2405359,157.5427788
11.8773820,2.3439889,195.7770992,178.9910433,157.6779644
11.9082980,2.2882279,195.6202080,178.9348491,157.7827284
11.9422070,2.1962908,195.1960805,179.1059726,157.5781833
11.9761150,2.1073502,195.9694005,179.5322648,158.5368443
12.0209940,2.0436627,195.4955966,179.1995177,158.5553575
12.0539050,2.0097121,196.0423966,179.9350057,159.1250130
12.0848210,2.0287248,196.7672234,180.6495825,160.0005219
12.1167350,2.1097594,196.7438346,180.5947109,160.9514115
12.1486560,2.2232782,197.0622283,181.0020142,161.2282413
12.1805700,2.3679353,197.9353425,182.6146201,162.3382494
12.2124830,2.5748401,198.9681122,183.4540816,164.2177934
12.2463970,2.8349127,199.0202031,183.9783004,164.4516301
12.2763170,3.1065305,200.0832350,184.9061461,165.7158640
12.3112220,3.3485269,200.3558052,185.1368143,165.9616656
12.3411420,3.5129634,200.3669776,185.5058850,166.1746613
12.3700630,3.5690642,201.1813871,186.1302238,166.7309516
12.4209310,3.5188845,201.9413395,186.7355289,166.8760257
12.4508500,3.3834842,202.2459589,187.5867191,167.7204019
12.4847580,3.1103322,198.6860389,184.2360717,163.8478261
12.5196640,2.5670928,198.4598878,183.1976450,163.1449323
12.5485860,1.7441817,198.6019502,183.3757313,163.1358613
12.5785060,0.7751937,198.8142656,183.3265505,163.2766533
12.6164030,-0.2027591,198.8109317,183.4086843,163.5410212
12.6443340,-1.0867023,199.2268141,183.4307643,163.7015887
12.6782430,-1.8190564,198.6778408,182.9782585,163.2321945
12.7081620,-2.3679332,199.0295467,183.7028267,163.3780267
12.7390790,-2.7173213,198.1628030,183.0603366,162.4982534
12.7729870,-2.9710270,194.8282254,179.2568720,158.9203791
12.8208580,-3.2637882,195.4946507,180.0197189,160.0019929
12.8537690,-3.5649761,195.5280442,179.9003336,160.6693078
12.8876770,-3.7819958,195.4530548,180.0618277,160.0238120
12.9175970,-3.8594818,195.9061562,180.4961200,160.5012933
12.9465190,-3.7738261,196.2613494,180.1510829,160.4804248
12.9834170,-3.5464259,195.8854264,180.2027631,160.3122468
13.0123410,-3.2128134,195.8467725,180.0504228,160.4208084
13.0472460,-2.7979842,196.3245976,180.5437474,161.0235246
13.0761680,-2.3227000,195.9608165,180.3701918,160.7338189
13.1090790,-1.8249758,196.4413836,180.2427506,160.6832022
13.1429860,-1.3511900,196.2651231,179.9663121,160.3619107
13.1719100,-0.9440716,196.2090629,179.3563621,159.5755067
13.2217760,-0.6326869,195.5275359,179.2208119,159.5163118
13.2556900,-0.4177829,195.7616695,178.8513457,159.3238015
13.2846120,-0.2851815,195.4324950,178.6383247,158.7898558
13.3185260,-0.2033084,195.1105996,178.9517631,158.9596108
13.3491620,-0.1433072,195.2089848,178.1655201,157.8828434
13.3800720,-0.0923435,195.4628151,178.6454832,158.1828782
13.4159750,-0.0198341,195.3675285,178.7703339,157.5366900
13.4448980,0.0869587,195.2676923,178.2001061,157.0960212
13.4768290,0.2083526,195.5836358,178.3149435,157.7717515
13.5127390,0.3438363,195.8941788,178.5640333,157.9643451
13.5406560,0.4900706,197.0122301,177.9326811,157.6657450
13.5735730,0.6258303,196.6686854,178.1959904,157.0319516
13.6174540,0.7429376,196.8496367,177.8912288,156.9766242
13.6523600,0.8444455,197.2962730,178.2489239,157.2162730
13.6852710,0.9409232,197.7253662,178.3048793,157.3102540
13.7161880,1.0217793,197.6378430,177.5424378,157.0921081
13.7490990,1.0689603,197.8999263,178.1830823,157.1145054
13.7840050,1.1055732,197.2472074,178.4395031,157.2086857
13.8129270,1.1458816,198.0837596,178.0699062,157.3416454
13.8418490,1.1708289,198.2764749,178.0758229,158.5791356
13.8757570,1.1621912,198.7037116,177.6568399,157.7583245
13.9096660,1.0974160,198.0024200,177.0158880,157.3088173
13.9415860,0.9622252,199.4009033,176.8923432,158.0774078
13.9754950,0.7784294,200.0627870,176.9751201,158.0999466
14.0184500,0.5957166,200.4856298,177.4892223,158.7325655
14.0523640,0.4470437,199.6638505,176.9127680,157.5575034
14.0852750,0.3412653,199.2940377,177.6460251,157.9465481
14.1171890,0.2972209,199.2842767,177.7624738,157.8423480
14.1511030,0.3845525,202.8562836,181.1001372,160.2670676
14.1820190,0.6642313,202.3169358,180.4512325,159.9864003
14.2139330,1.1234740,204.7468101,183.5900032,163.9028788
14.2448500,1.7052799,204.2916317,182.4013213,163.8644086
14.2767710,2.2891117,204.5491925,183.3157671,164.4452826
14.3117640,2.7614402,204.7299178,183.1537002,164.4895636
14.3406850,3.1180192,208.4783764,186.2106046,167.0631176
14.3746010,3.4097709,208.5381907,186.2474931,166.9567954
14.4204780,3.6004531,207.9059157,185.6840780,166.4048668
14.4523910,3.6030073,208.0696256,185.8582247,166.2353807
14.4843050,3.3908708,207.7208481,185.5563765,165.5964236
14.5182140,2.9704092,207.1919906,185.2175822,165.4427669
14.5501270,2.3765754,206.7194575,185.4141393,165.1527125
14.5820410,1.6818018,206.4831352,185.5955670,165.5326052
14.6129570,0.9302737,205.1067148,184.0774371,164.2126870
14.6448710,0.1946129,207.7438815,187.3132246,165.6999785
14.6797760,-0.3942922,206.9117963,186.5449076,164.6844650
14.7067300,-0.7852450,207.8306302,187.9967345,166.6183738
14.7386440,-0.9868374,207.8881677,188.0208555,166.8506065
